State_Province,City,Company_Phone,Application_Category,Year_Founded,Key_Differentiators,Public_Private,Company_Website,Postal_Code,Company_Name,Address_2,Country,Sample_Customer_Names,Target_Industry,Company_Email,Address_1
California,Garden Grove,800-500-6009,"Asset Management, Business Intelligence, Transportation and Logistics Software, Technology, Telecommunications/Service Providers Award-winning fleet management software with highly customizeable  GPS vehicle tracking and fleet monitoring solution. Includes Safety Analytics, Vehicle Diagnostics, Hours of Service (HOS) Solution, and many more. Ryder, Citroen, Trinity Armored Security, Three Star Trucking, West Point Utility, Alamo Cement Company, United Road Towing",1988,"Award-winning fleet management software with highly customizeable  GPS vehicle tracking and fleet monitoring solution. Includes Safety Analytics, Vehicle Diagnostics, Hours of Service (HOS) Solution, and many more. Ryder, Citroen, Trinity Armored Security, Three Star Trucking, West Point Utility, Alamo Cement Company, United Road Towing",Private,http://www.teletrac.com,92841,"Teletrac, Inc.",,United States,"Ryder, Citroen, Trinity Armored Security, Three Star Trucking, West Point Utility, Alamo Cement Company, United Road Towing","Software, Technology, Telecommunications/Service Providers Award-winning fleet management software with highly customizeable  GPS vehicle tracking and fleet monitoring solution. Includes Safety Analytics, Vehicle Diagnostics, Hours of Service (HOS) Solution, and many more. Ryder, Citroen, Trinity Armored Security, Three Star Trucking, West Point Utility, Alamo Cement Company, United Road Towing",info@teletrac.com,7391 Lincoln Way
,Airport City,972 (3) 533-3675,"Asset Management, Help Desk Management, IT/Application Management, Service Desk Management SysAid is specially built to streamline help desk processes. SysAid provides all the tools you need in one comprehensive solution to meet any IT challenge. Unique SysAid features include IT Benchmark, live chat, iPhone app,  SLA/SLM tool, CMDB Module, ITIL Package and the online SysAid Community. Moreover, the co. offers a comprehensive free version to small businesses with less than 100 users. KPMG, Mothers2Mothers, Cisco, McDonalds, Toys R Us, Ipsen, Coca Cola",2002,"SysAid is specially built to streamline help desk processes. SysAid provides all the tools you need in one comprehensive solution to meet any IT challenge. Unique SysAid features include IT Benchmark, live chat, iPhone app,  SLA/SLM tool, CMDB Module, ITIL Package and the online SysAid Community. Moreover, the co. offers a comprehensive free version to small businesses with less than 100 users. KPMG, Mothers2Mothers, Cisco, McDonalds, Toys R Us, Ipsen, Coca Cola",Private,http://sysaid.com,70100,SysAid Technologies,P.O. Box 1142,Israel,"KPMG, Mothers2Mothers, Cisco, McDonalds, Toys R Us, Ipsen, Coca Cola",,info@sysaid.com,1 HaYarden Street
AZ,Scottsdale,866 727 8893,"Asset Management, Help Desk Management, Service Desk Management, Vendor Management Chemical, Manufacturing, Pharmaceutical, Small and Mid-Size Businesses (SMBs) Offer IBM Maximo as a hosted solution, and provide a simplified interface for non technical users. Experian, Southwest Gas, FacilitySource, Novellus, University Medical Center",2007,"Offer IBM Maximo as a hosted solution, and provide a simplified interface for non technical users. Experian, Southwest Gas, FacilitySource, Novellus, University Medical Center",Private,http://www.softwrenchsolutions.com,85251,softWrench Solutions,Suite 350,USA,"Experian, Southwest Gas, FacilitySource, Novellus, University Medical Center","Chemical, Manufacturing, Pharmaceutical, Small and Mid-Size Businesses (SMBs) Offer IBM Maximo as a hosted solution, and provide a simplified interface for non technical users. Experian, Southwest Gas, FacilitySource, Novellus, University Medical Center",sales@softWrenchSolutions.com,7201 E Camelback Road
NH,Center Harbor,(866) 858-7800,"Asset Management, Procurement, Work Order Management Bigfoot maintenance software combines simplicity of design with a rich array of features to give users a CMMS solution that�s quick to learn for even quicker results. DuPont, Nike, UPS, Deloitte, Westin Hotels & Resorts, Daimler, Monsanto, Intel, Anixter, Siemens, Yahoo!, L3, Netflix, Lockheed Martin",2002,"Bigfoot maintenance software combines simplicity of design with a rich array of features to give users a CMMS solution that�s quick to learn for even quicker results. DuPont, Nike, UPS, Deloitte, Westin Hotels & Resorts, Daimler, Monsanto, Intel, Anixter, Siemens, Yahoo!, L3, Netflix, Lockheed Martin",Private,http://www.bigfootcmms.com,03226,"Smartware Group, Inc.",,USA,"DuPont, Nike, UPS, Deloitte, Westin Hotels & Resorts, Daimler, Monsanto, Intel, Anixter, Siemens, Yahoo!, L3, Netflix, Lockheed Martin",,general@bigfootcmms.com,P.O. Box 188
,Noisy-le-Grand,+ 33 1 55 85 91 00,"Asset Management, Help Desk Management, IT/Application Management, Knowledge Management, Service Desk Management Modular and integrated solution covering all aspects of IT management: Service Management (ITIL v3 verified - 11 processes), IT Asset Management, CMDB, Automatic Inventory, User Portal. SaaS offer is easy to implement, easy to use, and easy to maintain.  L'Or�al (WW), Quiksilver(FR), Moss Bross Group(UK), Aguirre Newman (ES), Avenance Elior (IT), etc.",1988,"Modular and integrated solution covering all aspects of IT management: Service Management (ITIL v3 verified - 11 processes), IT Asset Management, CMDB, Automatic Inventory, User Portal. SaaS offer is easy to implement, easy to use, and easy to maintain.  L'Or�al (WW), Quiksilver(FR), Moss Bross Group(UK), Aguirre Newman (ES), Avenance Elior (IT), etc.",Public,http://www.staffandline.com,93 885,Staff and Line,10 all�e Bienvenue,France,"L'Or�al (WW), Quiksilver(FR), Moss Bross Group(UK), Aguirre Newman (ES), Avenance Elior (IT), etc.",,info@staffandline.com,Immeuble Horizon
California,El Segundo,8778963611,"Asset Management, Collaboration, Compliance and Risk Management, Document Management, Productivity Banking/Financial Services, Healthcare, Small and Mid-Size Businesses (SMBs), Software, Wholesale/Distribution Supports unlimited number of devices. Real-time data protection. Superior mobile backup for Android/iOS. Centralized management. Built-in local backup. Unlimited and free file archival and versioning. Physical Media Upload SOS is the security leader.",2001,"Supports unlimited number of devices. Real-time data protection. Superior mobile backup for Android/iOS. Centralized management. Built-in local backup. Unlimited and free file archival and versioning. Physical Media Upload SOS is the security leader.",Private,http://www.sosonlinebackup.com,90245,SOS Online Backup,,United States,,"Banking/Financial Services, Healthcare, Small and Mid-Size Businesses (SMBs), Software, Wholesale/Distribution Supports unlimited number of devices. Real-time data protection. Superior mobile backup for Android/iOS. Centralized management. Built-in local backup. Unlimited and free file archival and versioning. Physical Media Upload SOS is the security leader.",bizdev@sosonlinebackup.com,"999 N Sepulveda Blvd, Ste 100"
Antwerpen,Mechelen,+32 15 43 61 28,"Asset Management Banking/Financial Services, Small and Mid-Size Businesses (SMBs), Wholesale/Distribution Xpenditure is a mobile and web-based expense management system that automates the expense management process from receipt to accounting.  Making use of intelligent scanning, expense reporting has never been easier",2013,"Xpenditure is a mobile and web-based expense management system that automates the expense management process from receipt to accounting.  Making use of intelligent scanning, expense reporting has never been easier",Private,http://www.xpenditure.com,2800,Xpenditure,,Belgium,,"Banking/Financial Services, Small and Mid-Size Businesses (SMBs), Wholesale/Distribution Xpenditure is a mobile and web-based expense management system that automates the expense management process from receipt to accounting.  Making use of intelligent scanning, expense reporting has never been easier",info@xpenditure.com,Kardinaal Mercierplein 2
California,Menlo Park,,"Asset Management, Business Process Management, Document Management, Portfolio Management, Project Management Aerospace, Banking/Financial Services, Construction, Education, Energy, Government, Real Estate Full DM system, configurable workflows, business process automation, centric dashboards and integration.    Dallas/Fort Worth Airport, Bank of America, Navy Federal Credit Union, City of San Antonio, Alliant Energy Corp, State of Mississippi",2001,"Full DM system, configurable workflows, business process automation, centric dashboards and integration.    Dallas/Fort Worth Airport, Bank of America, Navy Federal Credit Union, City of San Antonio, Alliant Energy Corp, State of Mississippi",Private,http://www.skire.com,94025,Skire,,United States,"Dallas/Fort Worth Airport, Bank of America, Navy Federal Credit Union, City of San Antonio, Alliant Energy Corp, State of Mississippi","Aerospace, Banking/Financial Services, Construction, Education, Energy, Government, Real Estate Full DM system, configurable workflows, business process automation, centric dashboards and integration.    Dallas/Fort Worth Airport, Bank of America, Navy Federal Credit Union, City of San Antonio, Alliant Energy Corp, State of Mississippi",Requests@skire.com,111 Independence Drive
CA,San Francisco,415-875-7100,"Asset Management, Business Process Management, Collaboration, Document Management, Project Management Energy, Real Estate, Retail, Telecommunications/Service Providers, Utilities Site Management, Capital Asset Management, Multi-Enterprise Collaboration, Lease Management, Complex Program Management Sprint, AT&T, Exxon Mobil, Cisco",2001,"Site Management, Capital Asset Management, Multi-Enterprise Collaboration, Lease Management, Complex Program Management Sprint, AT&T, Exxon Mobil, Cisco",Private,http://www.siterra.com,94105,Siterra Corporation,Suite 750,USA,"Sprint, AT&T, Exxon Mobil, Cisco","Energy, Real Estate, Retail, Telecommunications/Service Providers, Utilities Site Management, Capital Asset Management, Multi-Enterprise Collaboration, Lease Management, Complex Program Management Sprint, AT&T, Exxon Mobil, Cisco",info@siterra.com,150 Spear St
CA,Alamo,925-678-3260,"Asset Management Construction, Insurance, Real Estate S1 technology enhances the process where buyer, seller and supplier are connected by customer issue in real-time, improving cycle time by 50% from request to resolution, and ultimately enhancing the customer experience. Arch Insurance Group, Trammel Crow, Barry Swenson Builders, UDRT, Bridge Housing",1998,"S1 technology enhances the process where buyer, seller and supplier are connected by customer issue in real-time, improving cycle time by 50% from request to resolution, and ultimately enhancing the customer experience. Arch Insurance Group, Trammel Crow, Barry Swenson Builders, UDRT, Bridge Housing",Private,http://www.siteoneservices.com,94507,Site One Services,,USA,"Arch Insurance Group, Trammel Crow, Barry Swenson Builders, UDRT, Bridge Housing","Construction, Insurance, Real Estate S1 technology enhances the process where buyer, seller and supplier are connected by customer issue in real-time, improving cycle time by 50% from request to resolution, and ultimately enhancing the customer experience. Arch Insurance Group, Trammel Crow, Barry Swenson Builders, UDRT, Bridge Housing",sales@siteoneservices.com,21 Alamo Square
,Neuengrs,+494020931140,"Accounting/Financial, Asset Management, Vendor Management, Work Order Management Banking/Financial Services, Construction, Small and Mid-Size Businesses (SMBs), Telecommunications/Service Providers Simplessus Contracts is a modern software tool for contract management. With this contract database users keep appointments, deadlines, costs and revenue in sight. Well-known companies use Simplessus Contracts for efficient contract control.",,"Simplessus Contracts is a modern software tool for contract management. With this contract database users keep appointments, deadlines, costs and revenue in sight. Well-known companies use Simplessus Contracts for efficient contract control.",,http://www.simplessus.com,23818,Simplessus,,Germany,,"Banking/Financial Services, Construction, Small and Mid-Size Businesses (SMBs), Telecommunications/Service Providers Simplessus Contracts is a modern software tool for contract management. With this contract database users keep appointments, deadlines, costs and revenue in sight. Well-known companies use Simplessus Contracts for efficient contract control.",info@simplessus.com,Dorfstr. 5a
TEXAS,Austin,512.518.1111,"Asset Management, Channel Management, IT/Application Management, Supply Chain Management (SCM) Technology, Telecommunications/Service Providers Shango operates an open, common SaaS platform for the fulfillment of global IP-enabled services, featuring common APIs and multi-tenancy capabilities to simplify fulfillment across disparate trading partners, applications, and service providers.",2009,"Shango operates an open, common SaaS platform for the fulfillment of global IP-enabled services, featuring common APIs and multi-tenancy capabilities to simplify fulfillment across disparate trading partners, applications, and service providers.",Private,http://www.Shango.com,78746,Shango,Suite 108,United States,,"Technology, Telecommunications/Service Providers Shango operates an open, common SaaS platform for the fulfillment of global IP-enabled services, featuring common APIs and multi-tenancy capabilities to simplify fulfillment across disparate trading partners, applications, and service providers.",info@shango.com,3811 Bee Caves Road
CA,Solana Beach,(858) 720-0477,"IT Service Management; IT Resource Management; Help/Service Desk; Asset Management All With annual recurring revenue of more than $50 million, Service-now.com is one of the fastest growing software companies in the world. Service-now.com enterprise IT service management software combines ITIL v3 process support, modern SaaS delivery, and modern Web functionality to provide a flexible, intuitive and self-managing application. Staples, Flextronics, NYSE-Euronext, Facebook, The Ohio State University, Centrica, Queensland Government, Boots, Dimension Data, Kimberly-Clark, Pepsi Americas, Verisign",2004,"With annual recurring revenue of more than $50 million, Service-now.com is one of the fastest growing software companies in the world. Service-now.com enterprise IT service management software combines ITIL v3 process support, modern SaaS delivery, and modern Web functionality to provide a flexible, intuitive and self-managing application. Staples, Flextronics, NYSE-Euronext, Facebook, The Ohio State University, Centrica, Queensland Government, Boots, Dimension Data, Kimberly-Clark, Pepsi Americas, Verisign",Private,http://www.service-now.com,92075,Service-now.com,,USA,"Staples, Flextronics, NYSE-Euronext, Facebook, The Ohio State University, Centrica, Queensland Government, Boots, Dimension Data, Kimberly-Clark, Pepsi Americas, Verisign","All With annual recurring revenue of more than $50 million, Service-now.com is one of the fastest growing software companies in the world. Service-now.com enterprise IT service management software combines ITIL v3 process support, modern SaaS delivery, and modern Web functionality to provide a flexible, intuitive and self-managing application. Staples, Flextronics, NYSE-Euronext, Facebook, The Ohio State University, Centrica, Queensland Government, Boots, Dimension Data, Kimberly-Clark, Pepsi Americas, Verisign",info@service-now.com,120 S. Sierra Ave.
CA,Livermore,866-824-8977,"Asset Management, Business Intelligence, Manufacturing Solutions Energy, Government, Healthcare, Telecommunications/Service Providers, Utilities SentryTrack collects data from analog and digital sensors and transmits to the SaaS servers.  SentryTrack thenprovides the user to view history, monitor equipment performance, receive alerts and prepare compliancde reports.  City of Davis, Fort Ord, Big Bear, LAVWMA",2001,"SentryTrack collects data from analog and digital sensors and transmits to the SaaS servers.  SentryTrack thenprovides the user to view history, monitor equipment performance, receive alerts and prepare compliancde reports.  City of Davis, Fort Ord, Big Bear, LAVWMA",Private,http://www.sentrytrack.com,94551,SentryTrack Systems LLC,,USA,"City of Davis, Fort Ord, Big Bear, LAVWMA","Energy, Government, Healthcare, Telecommunications/Service Providers, Utilities SentryTrack collects data from analog and digital sensors and transmits to the SaaS servers.  SentryTrack thenprovides the user to view history, monitor equipment performance, receive alerts and prepare compliancde reports.  City of Davis, Fort Ord, Big Bear, LAVWMA",sales@sentrytrack.com,359 Stealth Court
Texas,Austin,7133164900,"Asset Management, Compliance and Risk Management, IT/Application Management Banking/Financial Services, Education, Insurance, Software, Technology Asset Vision is a Cloud-based ITAM solution for organizations wishing to combine discovery, enrichment, integration, and intelligence. Our single console access to all captured inventory simplifies managing software, mobile, and endpoint devices.",1999,"Asset Vision is a Cloud-based ITAM solution for organizations wishing to combine discovery, enrichment, integration, and intelligence. Our single console access to all captured inventory simplifies managing software, mobile, and endpoint devices.",Private,http://www.Scalable.com,78701,Scalable Software,Suite B,United States,,"Banking/Financial Services, Education, Insurance, Software, Technology Asset Vision is a Cloud-based ITAM solution for organizations wishing to combine discovery, enrichment, integration, and intelligence. Our single console access to all captured inventory simplifies managing software, mobile, and endpoint devices.",sales@scalable.com,421 East Sixth Street
OR,Salem,800-545-7385,"Asset Management, Business Process Management, eCommerce, Marketing, Salesforce Automation (SFA) Consumer Products/Packaged Goods, Electronics, Wholesale/Distribution SellerActive provides e-commerce sellers with strategic software for pricing, shipping, and managing across new markets.",,"SellerActive provides e-commerce sellers with strategic software for pricing, shipping, and managing across new markets.",,http://www.selleractive.com/,97313,Selleractive,,USA,,"Consumer Products/Packaged Goods, Electronics, Wholesale/Distribution SellerActive provides e-commerce sellers with strategic software for pricing, shipping, and managing across new markets.",support@selleractive.com,
WA,Redmond,888-250-8971,"Asset Management, Compliance and Risk Management, Help Desk Management, IT/Application Management SAManage is a leading provider of on-demand IT Asset Management service. Its service helps enterprises effectively track and manage computers and software inventory, organize IT contracts and software licenses and detect IT risks and compliance gaps.",2007,"SAManage is a leading provider of on-demand IT Asset Management service. Its service helps enterprises effectively track and manage computers and software inventory, organize IT contracts and software licenses and detect IT risks and compliance gaps.",Private,http://www.samanage.com,98052,Samanage,Suite 416,United States,,,info@samanage.com,16541 Redmond Way
MA,Norwell,781-871-7788,"Asset Management, Business Intelligence, Compliance and Risk Management, Customer Relationship Management, Salesforce Automation (SFA) Banking/Financial Services SatuitCRM was built by investment management professionals for other asset management professionals and has applied our collective decades of investment management industry experience to deliver Relationship Management Solutions that drive success. Acadian Asset Management, Dwight Asset Management, New York Life, Pioneer Investments, TD Asset Management, Westwood Holdings Group",1994,"SatuitCRM was built by investment management professionals for other asset management professionals and has applied our collective decades of investment management industry experience to deliver Relationship Management Solutions that drive success. Acadian Asset Management, Dwight Asset Management, New York Life, Pioneer Investments, TD Asset Management, Westwood Holdings Group",Private,http://www.satuit.com,02050,"Satuit Technologies, Inc",Unit M-50,USA,"Acadian Asset Management, Dwight Asset Management, New York Life, Pioneer Investments, TD Asset Management, Westwood Holdings Group","Banking/Financial Services SatuitCRM was built by investment management professionals for other asset management professionals and has applied our collective decades of investment management industry experience to deliver Relationship Management Solutions that drive success. Acadian Asset Management, Dwight Asset Management, New York Life, Pioneer Investments, TD Asset Management, Westwood Holdings Group",info@satuit.com,80 Washington St
TX,Double Oak,972-539-9281,"Asset Management, Procurement, Supply Chain Management (SCM) Government, Healthcare, Manufacturing, Medical, Pharmaceutical RxHome Inventory Management Software is a cloud-based solution for tracking inventory, covering the entire cycle from purchase orders to receipts to sales orders to shipments to invoicing to payment tracking and A/R. Includes pedigree tracking.",2002,"RxHome Inventory Management Software is a cloud-based solution for tracking inventory, covering the entire cycle from purchase orders to receipts to sales orders to shipments to invoicing to payment tracking and A/R. Includes pedigree tracking.",Private,http://thot.com,75077-8461,RxHome Corporation,,USA,,"Government, Healthcare, Manufacturing, Medical, Pharmaceutical RxHome Inventory Management Software is a cloud-based solution for tracking inventory, covering the entire cycle from purchase orders to receipts to sales orders to shipments to invoicing to payment tracking and A/R. Includes pedigree tracking.",rxhomeinfo@thot.com,120 Oak Grove Circle
Ohio,Delaware,800-572-2648,"Asset Management, Business Process Management, Expense Management, Supply Chain Management (SCM) Healthcare www.drugsample.org - Perpetual inventory management of clinic medications; Drug Samples; 340B and VFC (Vaccines for Children) medications; EMR(electronic medication record)means of meeting The Joint Commision and state laws for record keeping of samples. Cooper University Medical Center",1996,www.drugsample.org - Perpetual inventory management of clinic medications; Drug Samples; 340B and VFC (Vaccines for Children) medications; EMR(electronic medication record)means of meeting The Joint Commision and state laws for record keeping of samples. Cooper University Medical Center,Private,http://www.rxscan.com,43015,"RxScan, Ltd.",,USA,Cooper University Medical Center,Healthcare www.drugsample.org - Perpetual inventory management of clinic medications; Drug Samples; 340B and VFC (Vaccines for Children) medications; EMR(electronic medication record)means of meeting The Joint Commision and state laws for record keeping of samples. Cooper University Medical Center,sales@rxscan.tzo.com,2478 Lackey Old State Rd.
